,Timestamp,Id,SequenceId,SequenceSet,VectorGazeX,VectorGazeY,VectorGazeZ,GazeX,GazeY
5107,638345128990261409,1451.0,1.0,1.0,0.3422746,-0.08028258,0.9361639,4283.52977335453,1901.412881910801
5108,638345128990698573,1451.0,1.0,1.0,0.2342233,-0.1194647,0.9648148,3878.337398171425,2097.323514521122
5109,638345128991737521,1451.0,1.0,1.0,0.2244699,-0.119364,0.967143,3841.762125492096,2096.820004284382
5110,638345128992260485,1451.0,1.0,1.0,0.1585071,-0.1448075,0.9766813,3594.401601701975,2224.037513136864
5111,638345128992743160,1451.0,1.0,1.0,0.05096658,-0.1275611,0.9905204,3191.124673001468,2137.805536389351
5112,638345128993240856,1451.0,1.0,1.0,0.08573255,-0.1056909,0.9906964,3321.4970603585243,2028.4544825553892
5113,638345128993745913,1451.0,1.0,1.0,0.1091003,-0.1061048,0.9883516,3409.126114100218,2030.523993074894
5114,638345128994261139,1451.0,1.0,1.0,0.1112871,-0.1097162,0.9877133,3417.326632887125,2048.5809966921806
5115,638345128994747563,1451.0,1.0,1.0,0.1110033,-0.1135409,0.9873129,3416.2623826414347,2067.704513669014
5116,638345128995266196,1451.0,1.0,1.0,-0.1240438,-0.1009305,0.9871303,2534.8357502371077,2004.6524852514267
5117,638345128995746432,1451.0,1.0,1.0,-0.2106717,-0.09684554,0.9727479,2209.9811509251595,1984.2276871204376
5118,638345128996242079,1451.0,1.0,1.0,-0.2041442,-0.1028268,0.9735255,2234.459269791841,2014.133982360363
5119,638345128996747084,1451.0,1.0,1.0,-0.2018646,-0.09878638,0.9744188,2243.0077493190765,1993.931882083416
5120,638345128997793699,1451.0,1.0,1.0,-0.1778763,-0.09203125,0.97974,2332.9638987779617,1960.1562395691872
5121,638345128998244587,1451.0,1.0,1.0,-0.4311473,-0.02895474,0.9018168,1383.1975981593134,1644.7737030684948
5122,638345128998745023,1451.0,1.0,1.0,-0.4507863,-0.03482648,0.8919523,1309.5514029264452,1674.1323992609978
5123,638345128999806342,1451.0,1.0,1.0,-0.4281716,-0.03217114,0.9031246,1394.3564817309382,1660.855706781149
5124,638345129000269278,1451.0,1.0,1.0,-0.4286867,-0.03231856,0.902875,1392.4248442053797,1661.5927927196026
5125,638345129000751603,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5126,638345129001771681,1451.0,1.0,1.0,0.0,0.0,0,3000.0,1500.0
5127,638345129002268825,1451.0,1.0,1.0,-0.1843504,-0.1731386,0.9674906,2308.6859956383705,2365.693017840385
5128,638345129002749911,1451.0,1.0,1.0,-0.1780988,-0.1579689,0.97125,2332.129508256912,2289.844468235969
